-,Quantity,Units,grams,Calories (kCal),Protein(g),Carbohydrates (g),fats (g),fibre,glycemic index,POTASSIUM(mg),SODIUM(mg),PHOSPHOROUS (mg),CALCIUM,IRON,Vitamin A MCG,Vitamin D,Vitamin C,Vitamin E,Vitamin K,THIAMINE Vitamin B1,RIBOFLAVIN Vitamin B2,NIACIN Vitamin B3,vitamin B12,FOLIC ACID VITAMIN B9,MAGNESIUM,ZINC,SELENIUM
Spinach Baaji,1,cup,50,47,1,3.7,3.2,1.2,26,300,,,,,,,,,,,,,,,,,
Palak Baaji,1,cup,50,47,1,3.7,3.2,1.2,26,300,,,,,,,,,,,,,,,,,
Tapioca Baaji,1,cup,50,80,0.3,16.2,1.6,0.4,70,,,,,,,,,,,,,,,,,,
Haagala Kayi Baaji,1,cup,50,25,0.8,2.7,1.3,2.1,38,,,,,,,,,,,,,,,,,,
Bitter Gourd Baaji,1,cup,50,25,0.8,2.7,1.3,2.1,38,,,,,,,,,,,,,,,,,,
Capsicum Baaji,1,cup,50,20,0.5,2.9,0.9,1,30,,,,,,,,,,,,,,,,,,
Donne Menasina Kayi Palya,1,cup,50,20,0.5,2.9,0.9,1,30,,,,,,,,,,,,,,,,,,
Hoo Kosu Palya,1,cup,50,40,1,3.3,2.9,1.2,28,,,,,,,,,,,,,,,,,,
Cauliflower Baaji,1,cup,50,40,1,3.3,2.9,1.2,28,,,,,,,,,,,,,,,,,,
Flat Beans Baaji,1,cup,50,42,1.1,3.5,2.7,2.4,19,,,,,,,,,,,,,,,,,,
Avarekayi Palya,1,cup,50,42,1.1,3.5,2.7,2.4,19,,,,,,,,,,,,,,,,,,
Radish Baaji,1,cup,50,30,0.4,2.3,2.2,0.9,18,,,,,,,,,,,,,,,,,,
Moolangi Palya,1,cup,50,30,0.4,2.3,2.2,0.9,18,,,,,,,,,,,,,,,,,,
Mooli Baaji,1,cup,50,30,0.4,2.3,2.2,0.9,18,,,,,,,,,,,,,,,,,,
Pumpkin Baaji,1,cup,50,41,1,5.4,2,1.2,46,245,,,,,,,,,,,,,,,,,
Kumbal Kayi Palya,1,cup,50,41,1,5.4,2,1.2,46,245,,,,,,,,,,,,,,,,,
Mushroombaaji,1,cup,50,30,1.2,2.5,1.6,0.7,52,,,,,,,,,,,,,,,,,,
Mushroom Baaji,1,cup,50,30,1.2,2.5,1.6,0.7,52,,,,,,,,,,,,,,,,,,
Methi Baaji,1,cup,50,49,1.4,6.3,2.1,1.3,34,,,,,,,,,,,,,,,,,,
Menthya Soppu Palya,1,cup,50,49,1.4,6.3,2.1,1.3,34,,,,,,,,,,,,,,,,,,
Fenugreek Leaves Baaji,1,cup,50,49,1.4,6.3,2.1,1.3,34,,,,,,,,,,,,,,,,,,
Rajgira Soppu Palya,1,cup,50,21,1.3,2.1,1.1,0.2,29,,,,,,,,,,,,,,,,,,
Tambdi Baaji,1,cup,50,21,1.3,2.1,1.1,0.2,29,,,,,,,,,,,,,,,,,,
Laal Math Baaji,1,cup,50,21,1.3,2.1,1.1,0.2,29,,,,,,,,,,,,,,,,,,
Amaranth Baaji,1,cup,50,21,1.3,2.1,1.1,0.2,29,,,,,,,,,,,,,,,,,,
Yam Baaji,1,cup,50,45,0.6,6,2.1,1.4,48,,,,,,,,,,,,,,,,,,
Suran Sabji,1,cup,50,45,0.6,6,2.1,1.4,48,,,,,,,,,,,,,,,,,,
Suvarna Gedde Baaji,1,cup,50,45,0.6,6,2.1,1.4,48,,,,,,,,,,,,,,,,,,
Puran Poli,1,piece,50,190,3.8,24.2,8.7,3.2,78,,,,,,,,,,,,,,,,,,
Holgi,1,piece,50,190,3.8,24.2,8.7,3.2,78,,,,,,,,,,,,,,,,,,
Naan,1,piece,50,149,3.7,22.9,4.6,1.3,63,,,,,,,,,,,,,,,,,,
Kulcha,1,piece,70,163,3.8,24.7,5.2,1.2,64,,,,,,,,,,,,,,,,,,
Kulcha Butter,1,piece,90,210,3.8,25,10,3.2,60,,,,,,,,,,,,,,,,,,
Bhatoora,1,piece,50,154,2.8,16.5,8.4,0.6,60,,,,,,,,,,,,,,,,,,
Phulka,1,piece,35,85,3,17.4,0.4,2.7,64,,,,,,,,,,,,,,,,,,
Appam,1,piece,1 PANCAKE,99,1,20.2,2,0.7,64,,,,,,,,,,,,,,,,,,
Thepla,1,piece,50,130,4,18.6,4.4,3.1,60,,,,,,,,,,,,,,,,,,
Luchi,1,piece,50,167,4,23.1,6.6,3.6,60,,,,,,,,,,,,,,,,,,
Pathiri,1,piece,30,49,0.7,9.4,0.8,0.3,60,,,,,,,,,,,,,,,,,,
Misal Pav,1,serve(2 pav),230,140,3.6,21,5,2.3,60,,,,,,,,,,,,,,,,,,
Dhokla,1,piece,50,115,5.1,11.9,5.2,2.1,35,,,,,,,,,,,,,,,,,,
Raagi Semiya Upma,1,plate,150,156,3.6,30,2.5,5.3,80,,,,,,,,,,,,,,,,,,
Oats Dosa,1,piece,40,59,1.3,8.9,2,0.7,64,,,,,,,,,,,,,,,,,,
Sprouts Dosa,1,piece,50,45,1.1,7.8,1.1,0.5,58,,,,,,,,,,,,,,,,,,
Ragi Idli,1,piece,40,46,1.5,9.6,0.2,1,104,,,,,,,,,,,,,,,,,,
Rice Idli,1,piece,50,78,2.5,15.1,0.9,1.1,60,,,,,,,,,,,,,,,,,,
Oats Idli,1,piece,40,77,3,10.5,2.5,1.8,68,,,,,,,,,,,,,,,,,,
Paneer Parota,1,piece,80,226,10.1,15.9,13.7,2.4,46,,,,,,,,,,,,,,,,,,
Onion Parota,1,piece,80,177,4.7,26.4,6.7,4.2,50,,,,,,,,,,,,,,,,,,
Vada Pav,1,piece,90,221,4.4,30,9.2,1,68,,,,,,,,,,,,,,,,,,
